File,Start Line #,End Line #,Start Column #,End Column #,TarantulaRater,OchiaiRater,DBB Size
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\SiemensSuite\PrintTokens2\PrintTokens2.Tests\Edu\Unl\Sir\Siemens\PrintTokens2\originalTest.cs,184,184,13,45,0,0,4
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\SiemensSuite\PrintTokens2\PrintTokens2.Tests\Edu\Unl\Sir\Siemens\PrintTokens2\originalTest.cs,186,186,9,10,0,0,4
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\SiemensSuite\PrintTokens2\PrintTokens2.Tests\Edu\Unl\Sir\Siemens\PrintTokens2\originalTest.print_spec_symbol.g.cs,28,28,1,2,0,0,3
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\SiemensSuite\PrintTokens2\PrintTokens2.Tests\Edu\Unl\Sir\Siemens\PrintTokens2\originalTest.print_spec_symbol.g.cs,29,29,5,34,0,0,3
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\SiemensSuite\PrintTokens2\PrintTokens2.Tests\Edu\Unl\Sir\Siemens\PrintTokens2\originalTest.print_spec_symbol.g.cs,30,30,1,2,0,0,3
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\SiemensSuite\PrintTokens2\PrintTokens2.Tests\Edu\Unl\Sir\Siemens\PrintTokens2\originalTest.token_type.g.cs,110,110,1,2,0,0,4
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\SiemensSuite\PrintTokens2\PrintTokens2.Tests\Edu\Unl\Sir\Siemens\PrintTokens2\originalTest.token_type.g.cs,112,112,5,34,0,0,4
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\SiemensSuite\PrintTokens2\PrintTokens2.Tests\Edu\Unl\Sir\Siemens\PrintTokens2\originalTest.token_type.g.cs,113,113,5,32,0,0,4
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\SiemensSuite\PrintTokens2\PrintTokens2.Tests\Edu\Unl\Sir\Siemens\PrintTokens2\originalTest.token_type.g.cs,114,114,1,2,0,0,4
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\SiemensSuite\PrintTokens2\PrintTokens2.Tests\Edu\Unl\Sir\Siemens\PrintTokens2\originalTest.is_keyword.g.cs,22,22,1,2,0,0,4
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\SiemensSuite\PrintTokens2\PrintTokens2.Tests\Edu\Unl\Sir\Siemens\PrintTokens2\originalTest.is_keyword.g.cs,24,24,5,29,0,0,4
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\SiemensSuite\PrintTokens2\PrintTokens2.Tests\Edu\Unl\Sir\Siemens\PrintTokens2\originalTest.is_keyword.g.cs,25,25,5,32,0,0,4
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\SiemensSuite\PrintTokens2\PrintTokens2.Tests\Edu\Unl\Sir\Siemens\PrintTokens2\originalTest.is_keyword.g.cs,26,26,1,2,0,0,4
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\SiemensSuite\PrintTokens2\PrintTokens2.Tests\Edu\Unl\Sir\Siemens\PrintTokens2\originalTest.is_keyword.g.cs,30,30,1,2,0,0,4
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\SiemensSuite\PrintTokens2\PrintTokens2.Tests\Edu\Unl\Sir\Siemens\PrintTokens2\originalTest.is_keyword.g.cs,32,32,5,35,0,0,4
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\SiemensSuite\PrintTokens2\PrintTokens2.Tests\Edu\Unl\Sir\Siemens\PrintTokens2\originalTest.is_keyword.g.cs,33,33,5,32,0,0,4
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\SiemensSuite\PrintTokens2\PrintTokens2.Tests\Edu\Unl\Sir\Siemens\PrintTokens2\originalTest.is_keyword.g.cs,34,34,1,2,0,0,4
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\SiemensSuite\PrintTokens2\PrintTokens2.Tests\Edu\Unl\Sir\Siemens\PrintTokens2\originalTest.print_token.g.cs,142,142,1,2,0,0,4
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\SiemensSuite\PrintTokens2\PrintTokens2.Tests\Edu\Unl\Sir\Siemens\PrintTokens2\originalTest.print_token.g.cs,144,144,5,41,0,0,4
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\SiemensSuite\PrintTokens2\PrintTokens2.Tests\Edu\Unl\Sir\Siemens\PrintTokens2\originalTest.print_token.g.cs,145,145,5,32,0,0,4
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\SiemensSuite\PrintTokens2\PrintTokens2.Tests\Edu\Unl\Sir\Siemens\PrintTokens2\originalTest.print_token.g.cs,146,146,1,2,0,0,4
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\SiemensSuite\PrintTokens2\PrintTokens2.Tests\Edu\Unl\Sir\Siemens\PrintTokens2\originalTest.cs,95,95,9,10,0,0,7
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\SiemensSuite\PrintTokens2\PrintTokens2.Tests\Edu\Unl\Sir\Siemens\PrintTokens2\originalTest.cs,96,96,13,38,0,0,7
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\SiemensSuite\PrintTokens2\PrintTokens2.Tests\Edu\Unl\Sir\Siemens\PrintTokens2\originalTest.cs,97,97,13,46,0,0,7
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\SiemensSuite\PrintTokens2\PrintTokens2.Tests\Edu\Unl\Sir\Siemens\PrintTokens2\originalTest.cs,98,98,13,71,0,0,7
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\SiemensSuite\PrintTokens2\PrintTokens2.Tests\Edu\Unl\Sir\Siemens\PrintTokens2\originalTest.cs,99,99,13,56,0,0,7
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\SiemensSuite\PrintTokens2\PrintTokens2.Tests\Edu\Unl\Sir\Siemens\PrintTokens2\originalTest.cs,100,100,13,27,0,0,7
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\SiemensSuite\PrintTokens2\PrintTokens2.Tests\Edu\Unl\Sir\Siemens\PrintTokens2\originalTest.cs,102,102,9,10,0,0,7
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\SiemensSuite\PrintTokens2\PrintTokens2.Tests\Edu\Unl\Sir\Siemens\PrintTokens2\originalTest.is_num_constant.g.cs,22,22,1,2,0,0,4
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\SiemensSuite\PrintTokens2\PrintTokens2.Tests\Edu\Unl\Sir\Siemens\PrintTokens2\originalTest.is_num_constant.g.cs,24,24,5,38,0,0,4
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\SiemensSuite\PrintTokens2\PrintTokens2.Tests\Edu\Unl\Sir\Siemens\PrintTokens2\originalTest.is_num_constant.g.cs,25,25,5,32,0,0,4
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\SiemensSuite\PrintTokens2\PrintTokens2.Tests\Edu\Unl\Sir\Siemens\PrintTokens2\originalTest.is_num_constant.g.cs,26,26,1,2,0,0,4
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\SiemensSuite\PrintTokens2\PrintTokens2.Tests\Edu\Unl\Sir\Siemens\PrintTokens2\originalTest.is_spec_symbol.g.cs,46,46,1,2,0,0,4
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\SiemensSuite\PrintTokens2\PrintTokens2.Tests\Edu\Unl\Sir\Siemens\PrintTokens2\originalTest.is_spec_symbol.g.cs,48,48,5,34,0,0,4
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\SiemensSuite\PrintTokens2\PrintTokens2.Tests\Edu\Unl\Sir\Siemens\PrintTokens2\originalTest.is_spec_symbol.g.cs,49,49,5,32,0,0,4
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\SiemensSuite\PrintTokens2\PrintTokens2.Tests\Edu\Unl\Sir\Siemens\PrintTokens2\originalTest.is_spec_symbol.g.cs,50,50,1,2,0,0,4
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\SiemensSuite\PrintTokens2\PrintTokens2.Tests\Edu\Unl\Sir\Siemens\PrintTokens2\originalTest.print_token.g.cs,134,134,1,2,0,0,4
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\SiemensSuite\PrintTokens2\PrintTokens2.Tests\Edu\Unl\Sir\Siemens\PrintTokens2\originalTest.print_token.g.cs,136,136,5,46,0,0,4
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\SiemensSuite\PrintTokens2\PrintTokens2.Tests\Edu\Unl\Sir\Siemens\PrintTokens2\originalTest.print_token.g.cs,137,137,5,32,0,0,4
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\SiemensSuite\PrintTokens2\PrintTokens2.Tests\Edu\Unl\Sir\Siemens\PrintTokens2\originalTest.print_token.g.cs,138,138,1,2,0,0,4
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\SiemensSuite\PrintTokens2\PrintTokens2.Tests\Edu\Unl\Sir\Siemens\PrintTokens2\originalTest.print_spec_symbol.g.cs,34,34,1,2,0,0,3
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\SiemensSuite\PrintTokens2\PrintTokens2.Tests\Edu\Unl\Sir\Siemens\PrintTokens2\originalTest.print_spec_symbol.g.cs,35,35,5,33,0,0,3
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\SiemensSuite\PrintTokens2\PrintTokens2.Tests\Edu\Unl\Sir\Siemens\PrintTokens2\originalTest.print_spec_symbol.g.cs,36,36,1,2,0,0,3
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\SiemensSuite\PrintTokens2\PrintTokens2.Tests\Edu\Unl\Sir\Siemens\PrintTokens2\originalTest.token_type.g.cs,22,22,1,2,0,0,4
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\SiemensSuite\PrintTokens2\PrintTokens2.Tests\Edu\Unl\Sir\Siemens\PrintTokens2\originalTest.token_type.g.cs,24,24,5,31,0,0,4
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\SiemensSuite\PrintTokens2\PrintTokens2.Tests\Edu\Unl\Sir\Siemens\PrintTokens2\originalTest.token_type.g.cs,25,25,5,32,0,0,4
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\SiemensSuite\PrintTokens2\PrintTokens2.Tests\Edu\Unl\Sir\Siemens\PrintTokens2\originalTest.token_type.g.cs,26,26,1,2,0,0,4
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\SiemensSuite\PrintTokens2\PrintTokens2.Tests\Edu\Unl\Sir\Siemens\PrintTokens2\originalTest.is_identifier.g.cs,54,54,1,2,0,0,4
C:\Users\Chris\Documents\Visual Studio 2010\Projects\PexFaultLocalization\SiemensSuite\PrintTokens2\PrintTokens2.Tests\Edu\Unl\Sir\Siemens\PrintTokens2\originalTest.is_identifier.g.cs,56,56,5,42,0,0,4
